 ,X,Y
1,348.500,109.833
2,323.500,110.500
3,336.385,165.190
4,355.500,110.500
5,353.500,111.500
6,323.500,112.500
7,350.921,117.447
8,347.500,114.500
9,357.500,120.500
10,266.000,122.000
11,264.119,126.786
12,341.500,135.000
13,339.500,135.500
14,383.690,152.588
15,342.500,149.500
16,372.500,165.500
17,312.500,177.500
18,308.675,184.728
19,378.583,183.792
20,361.500,181.500
21,355.500,182.500
22,384.833,183.833
23,370.833,185.833
24,382.500,186.500
25,387.500,187.500
26,315.500,193.500
27,317.300,195.100
28,220.838,246.680
29,445.370,258.548
30,334.270,247.220
31,295.667,243.333
32,379.500,251.500
33,328.000,253.500
34,331.860,268.131
35,361.008,282.365
36,382.500,262.500
37,385.000,263.250
38,388.500,262.500
39,391.250,263.750
40,381.500,264.500
41,360.833,269.167
42,384.500,270.500
43,400.300,270.900
44,294.500,271.500
45,292.969,283.231
46,386.389,274.167
47,302.500,274.500
48,356.500,278.000
49,326.480,316.427
50,374.500,285.500
51,369.500,289.500
52,378.500,292.500
53,313.500,337.500
54,334.152,357.398
55,219.560,241.700
56,448.727,249.091
57,323.712,325.436
58,338.500,321.500
59,330.500,326.500
